"# This page contains raw intensities for all 8 slides.
# Column ""Block"": block number of each probe.
# Column ""Column"": column number of each probe.
# Column ""Row"": row number of each probe.
# Column ""Name"": the name of each miRNA/probe.
# Column ""ID"": array ID of the probes, each miRNA always has its unique probe, but some miRNAs may have two different probes.
# Column ""ForeGround"": the foreground intensity of each probe.
# Column ""ForeGround-BackGround"": the signal of the probe after background correction.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,ForeGround,,,,,,,,ForeGround-BackGround,,,,,,,
Block,Column,Row,Name,ID,1A_f,1B_f,2A_f,2B_f,3A_f,3B_f,4A_f,4B_f,1A_f_b,1B_f_b,2A_f_b,2B_f_b,3A_f_b,3B_f_b,4A_f_b,4B_f_b
1,1,1,Hy3,13138,1300,702,902,908,1636,920,2465,1211,1072,607,802,832,1564,871,2414,1174
1,2,1,,17942,185,82,122,169,98,73,127,54,-9,-9,33,83,28,23,84,14
1,3,1,,42839,166,73,73,122,59,58,70,55,-20,-8,11,41,-11,5,29,18
1,4,1,,46483,143,62,71,95,62,44,63,42,-21,-9,12,18,-5,-6,19,3
1,5,1,,11062,140,62,89,73,60,51,61,53,-23,-3,29,-7,-7,5,15,13
1,6,1,,10138,147,60,81,103,67,41,67,43,-17,0,19,28,1,-8,24,3
1,7,1,,32809,208,66,121,97,68,74,85,67,26,7,59,25,1,24,40,25
1,8,1,,11128,172,52,67,77,58,51,47,48,-25,-7,3,4,-8,3,2,9
1,9,1,,28876,158,55,78,92,68,47,85,45,-50,-2,14,18,-2,-2,41,6
1,10,1,,46654,171,52,74,85,58,46,65,49,-57,-4,11,11,-12,-3,24,9
1,11,1,,42711,154,55,72,98,60,49,64,52,-88,-1,12,29,-12,3,23,12
1,12,1,,17411,211,85,76,122,78,58,75,58,-47,27,16,45,10,10,33,21
1,13,1,,46684,207,64,84,79,73,53,58,56,-61,6,30,3,5,5,15,16
1,14,1,,11240,180,55,71,96,76,53,52,41,-86,1,14,16,2,4,8,2
