"# This page contains an expression matrix for all 8 slides. 
# Column ""Name"": the name of each miRNA.
# Column ""ID"": array ID of the probes, each miRNA always has its unique probe, but some miRNAs may have two different probes.
# Column ""Fold change"": the ratio of normalized intensities between two conditions (use normalized data, ratio scale).
# Column ""ForeGround"": the foreground intensity of each probe.
# Column ""ForeGround-BackGround"": the signal of the probe after background correction.
# Column ""Normalized"": means the normalized ratio of the microRNA. Median Normalization Method was adopted.
          Normalized Data=(Foreground-Background)/median*

NOTE:1. median value of valid probe intensity (background corrected intensity >= 50 in all samples).
     2. Each kind of probe has four repeat spots on the microarray, the values in this table are MEDIAN data of the four repeat spots.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fold change,,,,,,,,,,,,,,,,ForeGround,,,,,,,,ForeGround-BackGround,,,,,,,,Normalized,,,,,,,
ID,Name,1B vs 2A,2B vs 2A,3B vs 3A,4B vs 4A,2A vs 1A,3A vs 1A,4A vs 1A,3A vs 2A,4A vs 3A,4A vs 2A,2A vs 1B,3B vs 2B,4B vs 3B,4B vs 1B,3B vs 1B,4B vs 2B,1A,1B,2A,2B,3A,3B,4A,4B,1A,1B,2A,2B,3A,3B,4A,4B,1A,1B,2A,2B,3A,3B,4A,4B
13138,Hy3,1.158333527,0.810348984,0.885504706,0.407612813,0.879763632,0.991099321,3.251012251,1.12655182,3.280208333,3.695324669,0.863309208,1.231033738,1.509935448,1.300369581,0.861208724,1.858781478,850,677,740,707,842,626.5,1285.5,768,602,603,642,615.5,682.5,509,1222,681,2.936585366,2.992555831,2.583501006,2.093537415,2.910447761,2.57721519,9.546875,3.891428571
