ID,Name,1C vs 1A,2C vs 2A,3C vs 3A,1C vs 2C,2C vs 3C,1C vs 3C,1C,2C,3C,1A,2A,3A,1C,2C,3C,1A,2A,3A,1C,2C,3C,1A,2A,3A
13138,Hy3,3.770589451,1.486605177,2.019191588,2.659807279,0.699877526,1.861539338,3185.5,2975,2998.5,850,740,842,3129.5,2893.5,2900.5,602,642,682.5,26.86266094,10.09947644,14.43034826,7.124260355,6.793650794,7.146596859
17942,,N/A,1.177539267,2.580789236,3.93338623,1.047952858,4.12200334,333,248,182.5,193.5,115.5,97,285.5,178.5,119.5,-27.5,50,22,2.450643777,0.623036649,0.594527363,N/A,0.529100529,0.230366492
42839,,N/A,2.117378821,N/A,2.434511614,0.589082555,1.434128321,150,169.5,178,107.5,71,64,98.5,99.5,118.5,-81.5,15.5,-11.5,0.845493562,0.347294939,0.589552239,N/A,0.164021164,N/A
46483,,N/A,1.57591623,N/A,3.917606548,0.421923626,1.65293076,122,117,131.5,152,61.5,73,68.5,43,71.5,-47.5,9,-6,0.587982833,0.15008726,0.355721393,N/A,0.095238095,N/A
11062,,N/A,2.465141912,N/A,2.424590461,0.589485424,1.429260736,122.5,138,153,103,62,68,70,71,84.5,-112,9.5,-6,0.600858369,0.247818499,0.42039801,N/A,0.100529101,N/A
10138,,N/A,2.02617801,N/A,3.679309312,0.830299246,3.054927747,142.5,135.5,116.5,99.5,60.5,68,96.5,64.5,54.5,-105,10.5,-9.5,0.82832618,0.22513089,0.271144279,N/A,0.111111111,N/A
32809,,N/A,0.926972378,12.88774876,2.413965613,0.526986272,1.272126738,129.5,156.5,176.5,173.5,78,78,80,81.5,108.5,-15.5,29,4,0.686695279,0.284467714,0.539800995,N/A,0.306878307,0.041884817
11128,,N/A,4.353926702,N/A,2.906359735,0.364595787,1.059646514,91,101.5,120.5,94.5,53,65,39,33,63.5,-59,2.5,-10.5,0.334763948,0.115183246,0.315920398,N/A,0.026455026,N/A
28876,,N/A,1.786649215,N/A,3.121327171,0.577241699,1.8017602,135.5,135.5,144.5,103,62.5,68,82.5,65,79,-58,12,-1.5,0.708154506,0.226876091,0.393034826,N/A,0.126984127,N/A
46654,,N/A,1.420861861,N/A,6.279812998,0.392879581,2.4672103,119.5,95,108,99.5,58.5,65,71.5,28,50,-59.5,6.5,-6,0.613733906,0.097731239,0.248756219,N/A,0.068783069,N/A
42711,,N/A,1.748167539,N/A,2.92323265,0.523707691,1.530919422,113.5,119,123,87,63.5,60,63,53,71,-70.5,10,-9,0.540772532,0.184991274,0.353233831,N/A,0.105820106,N/A
17411,,N/A,1.032286213,3.04079602,2.604743886,0.926292539,2.412754828,136.5,160,128.5,162.5,77.5,77,89.5,84.5,64,-17.5,27,10,0.768240343,0.294938918,0.31840796,N/A,0.285714286,0.104712042
46684,,N/A,1.041066754,N/A,2.727064123,0.445651816,1.215321079,103.5,121,142.5,146.5,66.5,73.5,56,50.5,79.5,-30,16,-2,0.480686695,0.176265271,0.395522388,N/A,0.169312169,N/A
11240,,N/A,1.22513089,N/A,2.396170353,0.54180706,1.298262015,94,106,111,134.5,64.5,80.5,38,39,50.5,-40.5,10.5,-1.5,0.326180258,0.136125654,0.251243781,N/A,0.111111111,N/A
28164,,N/A,1.607984293,N/A,2.66941785,0.636308292,1.698572712,114.5,126.5,131.5,114,63,69,63.5,58.5,64.5,-84,12,-13,0.545064378,0.204188482,0.320895522,N/A,0.126984127,N/A
42923,,0.217343841,0.0570882,0.21830039,4.699856938,0.464274715,2.182024741,139,115.5,128.5,549,312,218,86,45,68,287,260,148,0.738197425,0.157068063,0.338308458,3.396449704,2.751322751,1.54973822
5250,,N/A,1.458252962,N/A,3.278969957,0.417957001,1.37046845,104.5,120,133.5,107.5,65,62.5,56,42,70.5,-70.5,9.5,-10.5,0.480686695,0.146596859,0.350746269,N/A,0.100529101,N/A
42887,,N/A,0.757417103,25.973466,5.235774609,0.26522794,1.388673715,115.5,100,143.5,103,65,78.5,66,31,82,-87,13.5,1.5,0.566523605,0.108202443,0.407960199,N/A,0.142857143,0.015706806
11234,,N/A,0.400929771,5.628396479,1.866222263,0.642347182,1.198762611,99.5,140,137.5,159,110.5,79.5,53.5,70.5,77,-81.5,58,6.5,0.459227468,0.246073298,0.383084577,N/A,0.613756614,0.068062827
42959,,N/A,2.43576319,N/A,2.587312232,0.647603705,1.675552988,100,118.5,120,150,58.5,70,50.5,48,52,-117,6.5,-6.5,0.433476395,0.167539267,0.258706468,N/A,0.068783069,N/A
13179,,N/A,1.391076713,N/A,2.509933189,0.523479662,1.313898977,103,117.5,128,129,61.5,69,49.5,48.5,65,-79.5,11.5,-8.5,0.424892704,0.169284468,0.323383085,N/A,0.121693122,N/A
42987,,N/A,1.126963351,N/A,4.378624516,0.235773753,1.032364737,87.5,90,118,95,54.5,60.5,36.5,20.5,61,-61,6,-14,0.313304721,0.071553229,0.303482587,N/A,0.063492063,N/A
42732,,N/A,0.732251309,2.983781095,2.592158682,0.49601494,1.285749433,108,121.5,145.5,156.5,80.5,86,58.5,55.5,78.5,-30,25,12.5,0.502145923,0.193717277,0.390547264,N/A,0.264550265,0.130890052
19581,,0.019321655,0.018201449,0.039205301,1.403020799,0.765349833,1.073801735,93,146,138.5,2120.5,1463,942,44.5,78,71.5,1670.5,1413.5,866.5,0.381974249,0.272251309,0.355721393,19.76923077,14.95767196,9.073298429
11105,,1.982546495,0.4189246,0.559836477,2.897365695,0.803113805,2.326914389,158,157,135,245.5,118,133.5,102.5,87,76,37.5,68.5,64.5,0.879828326,0.303664921,0.378109453,0.443786982,0.724867725,0.67539267
11224,,N/A,0.425497382,1.805472637,2.554546362,0.680470811,1.738294233,131.5,128.5,129,174,103,85.5,67,64.5,66.5,-28,50,17.5,0.575107296,0.22513089,0.330845771,N/A,0.529100529,0.183246073
42577,,0.205008335,0.115200497,0.26220557,1.983622156,0.559146557,1.1091355,146.5,176,192.5,553.5,357.5,312,85.5,106,133,302.5,303.5,241,0.733905579,0.369982548,0.661691542,3.579881657,3.211640212,2.523560209
42630,,N/A,0.370564282,0.441782316,9.053200019,0.602291811,5.452668232,222.5,120.5,115,257.5,92,142,167.5,45.5,53,-37,40.5,57,1.43776824,0.158813264,0.263681592,N/A,0.428571429,0.596858639
17565,,N/A,0.368903279,1.672437811,2.893208786,0.677653498,1.960593055,95.5,114.5,103,173,90.5,113,50,42.5,44,-26.5,38,12.5,0.429184549,0.148342059,0.218905473,N/A,0.402116402,0.130890052
42528,,N/A,1.00052356,N/A,2.567325378,0.494906449,1.270585887,96,122.5,128.5,167.5,69.5,73.5,47.5,45.5,64.5,-47.5,15,-0.5,0.407725322,0.158813264,0.320895522,N/A,0.158730159,N/A
46227,,N/A,3.33723437,N/A,2.301951293,1.005584642,2.314806867,127,157,135.5,101.5,63,61,80.5,86,60,-110.5,8.5,-16.5,0.690987124,0.30017452,0.298507463,N/A,0.08994709,N/A
14257,spike_control_i,8.413733906,0.859947644,8.755863539,3.90781351,0.397012866,1.551452241,106.5,106.5,127.5,75,67,81,58,36.5,64.5,5,14,3.5,0.497854077,0.127399651,0.320895522,0.059171598,0.148148148,0.036649215
11097,,19.89038574,3.397231929,0.240412935,2.416259654,8.358766357,20.19694991,4492,4601.5,445,414.5,490,1013.5,4442.5,4521.5,379.5,162,439,750,38.13304721,15.78184991,1.888059701,1.917159763,4.645502646,7.853403141
46855,,N/A,1.264397906,N/A,3.742302668,0.419120147,1.568474444,118,119,137.5,112,64.5,68.5,70,46,77,-114,12,-10,0.600858369,0.160558464,0.383084577,N/A,0.126984127,N/A
46309,,N/A,0.542482792,1.4579159,3.332101415,1.014771877,3.381322808,270.5,242.5,182.5,263.5,153,123.5,219.5,162,112,-10,98.5,36.5,1.884120172,0.565445026,0.55721393,N/A,1.042328042,0.382198953
17506,,N/A,0.645748839,7.506965174,2.176150925,0.617204586,1.343130331,111,136.5,143.5,223.5,86.5,82,61.5,69.5,79,-15,35.5,5,0.527896996,0.242582897,0.393034826,N/A,0.375661376,0.052356021
19601,,N/A,0.296602947,1.581017327,4.091645701,0.421669425,1.725321888,145,127,161.5,228,113.5,100.5,96.5,58,96.5,-4.5,64.5,29,0.82832618,0.202443281,0.480099502,N/A,0.682539683,0.303664921
0,Empty,N/A,N/A,N/A,1.639484979,0.323801853,0.530868273,54.5,72.5,71.5,65.5,51.5,72,2,3,6.5,-1,0,-1,0.017167382,0.010471204,0.032338308,N/A,N/A,N/A
50348,,N/A,4.215332149,0.558047029,0.692043911,3.924851237,2.716169399,252,764.5,182,203.5,105,178,196,696.5,124.5,-10.5,54.5,106,1.682403433,2.431064572,0.619402985,N/A,0.576719577,1.109947644
50225,cel-miR-1828,N/A,0.597129446,N/A,2.693439608,0.575507199,1.550093884,109.5,118,132,178,89,71,57.5,52.5,64,-31,29,-1,0.493562232,0.183246073,0.31840796,N/A,0.306878307,N/A
49809,,N/A,2.3671081,N/A,3.426792373,0.891579407,3.055257511,150,129.5,106.5,156.5,62.5,70,85,61,48,-55.5,8.5,-2,0.729613734,0.212914485,0.23880597,N/A,0.08994709,N/A
49974,,N/A,0.368647983,0.333166485,2.286650102,0.695470066,1.590296697,102,127.5,120.5,187,99,163.5,53,57,57.5,-21.5,51,82,0.454935622,0.19895288,0.286069652,N/A,0.53968254,0.858638743
49733,cel-miR-80-5p,N/A,2.345549738,N/A,6.14806867,0.305445739,1.877901375,128,103,132,87.5,56.5,63,80,32,73.5,-94.5,4.5,-13.5,0.686695279,0.111692845,0.365671642,N/A,0.047619048,N/A
47179,,N/A,1.671204188,N/A,4.594872374,0.544075222,2.499956206,118,111.5,116,96,61,69.5,71,38,49,-86.5,7.5,-10,0.60944206,0.132635253,0.243781095,N/A,0.079365079,N/A
49082,,N/A,3.958115183,N/A,3.24481402,0.481077038,1.561005518,94.5,112.5,128.5,129.5,55.5,66.5,47.5,36,52.5,-81.5,3,-9.5,0.407725322,0.12565445,0.26119403,N/A,0.031746032,N/A
48660,,0.76309907,0.25264565,0.933157951,2.759799714,0.462574075,1.2766118,149.5,163.5,204,294.5,181.5,161.5,101,90,136.5,96,117.5,69.5,0.86695279,0.314136126,0.679104478,1.136094675,1.243386243,0.727748691
48156,,N/A,2.00104712,N/A,3.783426874,0.377768828,1.429260736,122.5,113.5,139.5,116.5,60,68.5,70,45.5,84.5,-77.5,7.5,-10.5,0.600858369,0.158813264,0.42039801,N/A,0.079365079,N/A
14261,spike_control_a,N/A,7.256544503,N/A,4.080081935,0.358943139,1.464517417,83,92,111,64.5,51,60,36.5,22,43,-4,1,-12,0.313304721,0.076788831,0.213930348,N/A,0.010582011,N/A
49054,,N/A,1.130890052,N/A,2.643669528,0.507159528,1.34076219,113.5,126,144,144.5,68,75.5,64.5,60,83,-76,17.5,-1,0.553648069,0.209424084,0.412935323,N/A,0.185185185,N/A
50383,,N/A,1.172774869,N/A,6.455472103,0.22227982,1.434921175,89.5,87.5,118,122.5,58.5,65.5,42,16,50.5,-135.5,4.5,-12,0.360515021,0.055846422,0.251243781,N/A,0.047619048,N/A
49707,cel-miR-73-3p,N/A,17.53359511,22.22718227,0.242453013,1.565377877,0.379530583,332.5,2934.5,1350.5,223.5,105.5,111.5,283,2870.5,1286.5,-71.5,54,27.5,2.429184549,10.01919721,6.400497512,N/A,0.571428571,0.287958115
49996,,N/A,1.772905759,N/A,2.859566823,0.574619796,1.643163703,100.5,109.5,120,171,62,68.5,50,43,52.5,-96.5,8,-3,0.429184549,0.15008726,0.26119403,N/A,0.084656085,N/A
50297,,N/A,1.429319372,N/A,3.59425553,0.380017452,1.365879828,87,93,105.5,114.5,58,64.5,38,26,48,-97,6,-9.5,0.326180258,0.090750436,0.23880597,N/A,0.063492063,N/A
11069,,N/A,0.503010471,9.621268657,3.829944417,0.264171676,1.011762836,99,101.5,150,148.5,70.5,75.5,47.5,30.5,81,-86.5,20,4,0.407725322,0.106457243,0.402985075,N/A,0.211640212,0.041884817
49391,,N/A,0.846118825,N/A,3.209500255,0.154450262,0.495708155,87.5,98.5,208,148,63.5,66,38.5,29.5,134,-80,11.5,-5,0.330472103,0.102966841,0.666666667,N/A,0.121693122,N/A
49177,,N/A,1.722513089,N/A,3.453383253,0.333068909,1.150214592,82.5,99,112,98,58,63,33,23.5,49.5,-118,4.5,-15,0.283261803,0.082024433,0.246268657,N/A,0.047619048,N/A
47743,,N/A,2.278914802,N/A,3.36525864,0.429994933,1.447044164,102,113,122.5,87.5,59,68,52,38,62,-92,5.5,-13.5,0.446351931,0.132635253,0.308457711,N/A,0.058201058,N/A
49605,,N/A,18.17228403,N/A,0.369651321,4.433222616,1.638746597,183,954.5,200,131.5,67,76,132.5,881.5,139.5,-65,16,-3,1.137339056,3.076788831,0.694029851,N/A,0.169312169,N/A
49164,,N/A,2.428843408,N/A,4.463042442,0.481586654,2.149341675,120.5,109,110,111.5,61,59,73.5,40.5,59,-79,5.5,-15.5,0.630901288,0.141361257,0.293532338,N/A,0.058201058,N/A
47402,,N/A,2.045026178,N/A,4.601135262,0.362478185,1.667811159,136.5,117.5,156,111.5,64.5,69,87,46.5,90,-91,7.5,-8.5,0.746781116,0.162303665,0.447761194,N/A,0.079365079,N/A
